plant_code,group_code,group_name,subgroup_code,subgroup_name,equipment_code,equipment_name,equipment_description,equipment_type,equipment_manufacturer,equipment_model,equipment_serial_number,equipment_voltage_class,equipment_phase_type,equipment_start_date,equipment_latitude,equipment_longitude
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZST210,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,IAFA,LA 156,8933,230.000,THREE_PHASE,1984-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZSR203,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,IAFA,LA 156,8933,230.000,THREE_PHASE,1988-04-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZST208,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,GENERICO,IBR - SSC-15/400,3979/6 (A;B;V),230.000,THREE_PHASE,1988-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZSD201,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,BEGHIM,,,230.000,THREE_PHASE,1988-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZSD202,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,BEGHIM,,,230.000,THREE_PHASE,1988-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZSB202,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,DISCONNECT_SWITCH,BEGHIM,HMA,,230.000,THREE_PHASE,1988-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF604,Transformador de Potência 230kV Nº 04,N-S-MAIZ-TF604-TF230,Módulo TF230,N-S-MAIZ-TF604-TF230-IZDJ220,Disjuntor 230kV,Disjuntor 230kV / Transformador de Potência 230kV Nº 04 / SE Imperatriz,CIRCUIT_BREAKER,AEG ETI,DKU 558-17,C2 1931,230.000,THREE_PHASE,2001-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF603,Transformador de Potência 230kV Nº 03,N-S-MAIZ-TF603-TF230,Módulo TF230,N-S-MAIZ-TF603-TF230-IZST207,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 03 / SE Imperatriz,DISCONNECT_SWITCH,GENERICO,IBR - SSC-15/400,3979/1 (A;B;V),230.000,THREE_PHASE,1988-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF603,Transformador de Potência 230kV Nº 03,N-S-MAIZ-TF603-TF230,Módulo TF230,N-S-MAIZ-TF603-TF230-IZSR202,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 03 / SE Imperatriz,DISCONNECT_SWITCH,,,,230.000,THREE_PHASE,1981-11-05,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF603,Transformador de Potência 230kV Nº 03,N-S-MAIZ-TF603-TF230,Módulo TF230,N-S-MAIZ-TF603-TF230-IZSB201,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 03 / SE Imperatriz,DISCONNECT_SWITCH,GENERICO,SSC-15/400 - IBR,3979-3 (A;B;V),230.000,THREE_PHASE,1988-11-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF603,Transformador de Potência 230kV Nº 03,N-S-MAIZ-TF603-TF230,Módulo TF230,N-S-MAIZ-TF603-TF230-IZDJ219,Disjuntor 230kV,Disjuntor 230kV / Transformador de Potência 230kV Nº 03 / SE Imperatriz,CIRCUIT_BREAKER,ALSTHOM,VAA 6312/24,50169/1/1,230.000,THREE_PHASE,2001-02-10,NULL,NULL
